name,id,subject,keywords,API_type,MD_standards
Carbohydrate-Active enZYmes Database,FAIRsharing_doi:10.25504/FAIRsharing.ntyq70#OMICS_01677#RRID:SCR_012909#nif-0000-02642,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20107 Bioinformatics and Theoretical Biology#21 Biology,CAZymes#carbohydrate#carbohydrate binding module#carbohydrate esterase#catalytic binding#enzyme#glycosidic bond#glycosidic hydrolase#glycosyl transferase#polysaccharide lyase,,
St. Francis Xavier University Dataverse,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,other,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
CUHK Research Data Repository,https://researchdata.cuhk.edu.hk,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#TRUST#multidisciplinary,,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
Motion Capture Database HDM05,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#201 Basic Biological and Medical Research#20108 Anatomy#205 Medicine#20504 Physiology#21 Biology#22 Medicine",activity#behavior recognition#biomechanics#biometrics#human segmentation#human tracking#mocap systems#movement#sports sciences,,
Clinical data repository,,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20508 Pharmacy#22 Medicine",ICD-9 codes#demographics#health#hospital admission#laboratory results#pathology reports#pharmacy information#radiology#sociology,,
City of Greater Sudbury Open Data Portal,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,boundaries#business#community#culture#economy#environment#facilities#government#infrastructure#land use#recreation#transportation,REST,
Unified-District Information System for Education,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences,India#education#education and state - data processing#education and state - decision making#education and state - evaluation#educational acceleration - evaluation#educational mobility#educational planning#educational planning - forecasting#educational statistics,,
Smithsonian National Museum of Natural History,ROR:00cz47042,"2 Life Sciences#202 Plant Sciences#203 Zoology#20302 Evolution, Anthropology#21 Biology#3 Natural Sciences#314 Geology and Palaeontology#34 Geosciences (including Geography)",FAIR#amphibians#birds#botany#entomology#fishes#mammals#mineral sciences#reptiles,,
Repositorio Institucional de la Universidad de Burgos,OpenDOAR:1527,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
Linguistic Linked Open Data,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,corpora#dictionaries#knowledge bases#lexicons#linguistic data categories#linguistic resource metadata#terminologies#thesauri#typological databases,SPARQL,
LIVIVO,,"2 Life Sciences#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",agriculture#environment#health#medicine#nutrition,,DataCite Metadata Schema
International Long Term Ecological Research,,"2 Life Sciences#202 Plant Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20704 Ecology of Agricultural Landscapes#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#34 Geosciences (including Geography)",ecology#ecosystem#environmental change#socioeconomics,,
American FactFinder,RRID:SCR_002932#RRID:nif-0000-30094,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#11202 Economic and Social Policy#11203 Public Finance#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,census data#demography#household surveys#income#population#public pensions,FTP,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
DEG,OMICS_08725#RRID:SCR_012929#RRID:nif-0000-02745,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",archaea#bacteria#eukaryotes#life sciences#microbial genomes,,
Brainlife,FAIRsharing_doi:10.25504/FAIRsharing.by3p8p,2 Life Sciences#206 Neurosciences#22 Medicine,FAIR#field maps#neuroimaging#tractrography#white matter,REST,
Forschungsdaten- und Servicezentrum der Bundesbank,,1 Humanities and Social Sciences#112 Economics#11203 Public Finance#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,MFI interest rate statistics - ZISTA#Panel on Household Finances - PHF#balance sheet statistics - BISTA#banks#corporate balances sheets - Ustan#enterprises#external position of banks - AUSTA#households#microdata#microdatabase direct investment - MiDi#quarterly borrowers statistics - VJKRE#securities#securities holdings statistics - SHS-base#statistics of the banks profit and loss account - GuV#statistics on inernational trad in services - SITS,,
Rothamsted Long-term Experiments Electronic Archive,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20701 Soil Sciences#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",FAIR#agriculture#barley#hay#long-term experiments#meteorology#soil science#wheat,,DataCite Metadata Schema
Health Canada Drug Product Database,FAIRsharing_doi:10.25504/fairsharing.tyyn81#MIR:00100351,2 Life Sciences#205 Medicine#20508 Pharmacy#20509 Pharmacology#21 Biology#22 Medicine,animals#biological drugs#disinfectants#humans#product monograph - PM#radiopharmaceutical drugs,,
USGS Earthquake Hazards Program,,3 Natural Sciences#313 Atmospheric Science and Oceanography#314 Geology and Palaeontology#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),earthquake#geosciences#hazard,other#other,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
National Center for Education Statistics,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences,college choice#education#literacy#private schools#public libraries#public schools#schools--statistics#statistics,,
MG-RAST,RRID:SCR_004814,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",bioinformatics#genomics#genomics - data processing#proteomics,REST,
Wildlife Management Information System,,2 Life Sciences#203 Zoology#21 Biology,NWT#Northwest Territories#conservation of wild species#habitat of wild species#management of wild species#wildlife observation data,,
Digital Averroes Research Environment,,1 Humanities and Social Sciences#108 Philosophy#11 Humanities,Andalusian philosophy#Arabian philosophy#Arabic#Hewbrew#Latin#critical editions#early prints#grammar#incunabula#law and theology#logic#manuscripts#mathematics#medicine#metaphysics#philosophy of nature#practical philosophy#psychology,,
Institut d'Astronomie et d'Astrophysique Databases,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,Catalogue of Orbits of Spectroscopic Binaries - SB9#Henize S stars#Molecular linelist#NACRE II#Radial-velocity monitoring of Ba and S stars#Stellar models#nuclear astrophysics#nuclear database - BRUSLIB#nuclear network generator - NetGen,,
KONECT,,"1 Humanities and Social Sciences#111 Social Sciences#11103 Communication Science#12 Social and Behavioural Sciences#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",affilation networks#animal networks#authorship networks#citation networks#communications networks#computer networks#feature networks#folksonomies#human contact networks#human social networks#hyperlink networks#interaction networks#lexical networks#metabolic networks#miscellaneous networks#network analysis#online contact networks#online social networks#physical networks#rating networks#software networks#statistics#text networks#trophic networks,,RDF Data Cube Vocabulary
Eesti Sotsiaalteaduslik  Andmearhiiv,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#12 Social and Behavioural Sciences,Estonia#Estonian radio#SPSS#music#politics#survey data,,
Forschungsdatenzentrum des Bundesamtes für Migration und Flüchtlinge,,1 Humanities and Social Sciences#113 Jurisprudence#12 Social and Behavioural Sciences,getaway#immigration#immigration law#integration#migration#residence permit#right of asylum,,
Oxford Brookes University: RADAR,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,
Ensembl Bacteria,FAIRsharing_doi:10.25504/FAIRsharing.zsgmvd#MIR:00000202#RRID:SCR_008679#RRID:nif-0000-33711,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine",DNA#RNA#bioinformatics#biology#gene models#genomics#procaryotes#protein,FTP#REST#other,
NASA Life Sciences Portal,FAIRsharing_doi:10.25504/FAIRsharing.581df9,2 Life Sciences#205 Medicine#22 Medicine#3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,Human Health and Performance Directorate - HH&P#Human Research Program - HRP#Lifetime Surveillance of Astronaut Health - LSAH#Space Biology Program - SP#aerospace engineering#bioengineering#international space station#medical capability#psychosocial and behavioral health#space biology#space physics#space radiation,,ISA-Tab
DisGeNET,FAIRsharing_doi:10.25504/FAIRsharing.fssydn#RRID:SCR_006178#RRID:nlx_151710,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,COVID-19#FAIR#disease,REST#SPARQL,
Woods Hole Open Access Server,FAIRsharing_doi:10.25504/FAIRsharing.r3fzzc,"2 Life Sciences#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#31501 Geophysics#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",climate change#coastal geology#ecosystems#marine biology#marine geology#marine policy#seafloor mapping#sediment transport#tectonics,OAI-PMH,Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
RADaR - Digital Repository of Archived Publications of the Institute for Biological Research “Siniša Stanković”,OpenDOAR:4035#ROAR:14159,1 Humanities and Social Sciences#2 Life Sciences#202 Plant Sciences#203 Zoology#21 Biology,biology#cells#genetics#physiology#plants#zoology,OAI-PMH,Dublin Core
Macromolecular Xtallography Raw Data Repository,,3 Natural Sciences#31 Chemistry,crystal diffraction,OAI-PMH#SWORD#other#other#other,CIF - Crystallographic Information Framework#DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
ShareGeo open,,3 Natural Sciences#317 Geography#318 Water Research#34 Geosciences (including Geography),boundaries#city planning#economic history#environment#geospatial data#historical geography#satellite image maps,,Dublin Core
Fudan University Social Science Data Repository,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities#111 Social Sciences#112 Economics#12 Social and Behavioural Sciences",Chinese population#Earth and Environmental Sciences#World Bank#Yangtze River#surveys#urbanization,,
Melanoma Molecular Map Project,FAIRsharing_doi:10.25504/FAIRsharing.xxtmjs,"2 Life Sciences#201 Basic Biological and Medical Research#204 Microbiology, Virology and Immunology#205 Medicine#20503 Human Genetics#20519 Dermatology#20530 Radiology and Nuclear Medicine#20532 Biomedical Technology and Medical Physics#21 Biology#22 Medicine",cancer therapy#clinical therapy#clinical trials#drugs#epidemiology of melanoma#family predisposition#molecular biology#molecular pathways#risk factors,,
Morph·D·Base,,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#202 Plant Sciences#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",fungi#molecules#morphology#phylogenetics#plantae#specimen#taxa,,Darwin Core
World Data Center for Human Interactions in the Environments,,1 Humanities and Social Sciences#11 Humanities,climate#conservation#global environment#governance#hazards#health#population#poverty#socioeconomics#sustainability,,
NCBI,RRID:SCR_006472#RRID:nif-0000-00139,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine#3 Natural Sciences#305 Biological Chemistry and Food Chemistry#30501 Biological and Biomimetic Chemistry#31 Chemistry,bioassays#blast#dna#genes#genomes#proteins#sequence analysis#taxonomy,,
Australian Urban Research Infrastructure Network,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences#2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#21 Biology#22 Medicine#3 Natural Sciences#317 Geography#34 Geosciences (including Geography),culture#disaster management#education#emergency#environment#geography#health#housing and property#society#technology#transport#urban planning,other,
Roper Center Public Opinion Archives,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,public opinion research#public surveys,,DDI - Data Documentation Initiative#Dublin Core
Université du Québec à Trois-Rivières - Borealis,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
International Ocean Discovery Program,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#314 Geology and Palaeontology#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",calibration#chemistry#core repository#deep biosphere#deep sea#drilling#marine expeditions#microbiological samples#oceanography#paleomagnetism#paleontology#sample distribution#sediments#subseafloor ocean#x-ray,OAI-PMH#REST,ISO 19115
